recorded_at,voltage,temperature,source_file
2025-12-14 20:55:58,5.19,44.69,telemetry_20251214_205558.csv
2025-12-14 20:55:59,10.26,52.40,telemetry_20251214_205559.csv
2025-12-14 20:56:00,7.01,64.15,telemetry_20251214_205600.csv
2025-12-14 20:56:01,4.41,-48.06,telemetry_20251214_205601.csv
2025-12-14 20:56:02,3.38,-10.13,telemetry_20251214_205602.csv
2025-12-14 20:56:03,6.50,43.25,telemetry_20251214_205603.csv
2025-12-14 20:56:04,11.69,-47.11,telemetry_20251214_205604.csv
2025-12-14 20:56:05,7.44,57.83,telemetry_20251214_205605.csv
2025-12-14 20:56:06,3.87,74.82,telemetry_20251214_205606.csv
2025-12-14 20:56:07,8.41,64.97,telemetry_20251214_205607.csv
2025-12-14 20:56:08,6.19,-18.62,telemetry_20251214_205608.csv
2025-12-14 20:56:09,12.15,28.61,telemetry_20251214_205609.csv
2025-12-14 20:56:10,7.46,78.15,telemetry_20251214_205610.csv
2025-12-14 20:56:11,3.23,58.07,telemetry_20251214_205611.csv
2025-12-14 20:56:12,8.57,-35.40,telemetry_20251214_205612.csv
2025-12-14 20:56:13,3.72,60.65,telemetry_20251214_205613.csv
2025-12-14 20:56:14,8.36,50.55,telemetry_20251214_205614.csv
2025-12-14 20:56:15,9.22,21.71,telemetry_20251214_205615.csv
2025-12-14 20:56:16,3.93,-20.57,telemetry_20251214_205616.csv
2025-12-14 20:56:17,9.07,59.97,telemetry_20251214_205617.csv
2025-12-14 20:56:18,9.07,5.35,telemetry_20251214_205618.csv
2025-12-14 20:56:19,3.20,25.26,telemetry_20251214_205619.csv
2025-12-14 20:56:20,6.05,-13.43,telemetry_20251214_205620.csv
2025-12-14 20:56:21,4.98,71.42,telemetry_20251214_205621.csv
2025-12-14 20:56:22,4.64,56.41,telemetry_20251214_205622.csv
2025-12-14 20:56:23,5.76,-20.88,telemetry_20251214_205623.csv
2025-12-14 20:56:24,4.56,-46.95,telemetry_20251214_205624.csv
2025-12-14 20:56:25,8.81,46.64,telemetry_20251214_205625.csv
2025-12-14 20:56:26,5.44,49.86,telemetry_20251214_205626.csv
2025-12-14 20:56:27,5.76,-26.43,telemetry_20251214_205627.csv
2025-12-14 20:56:28,8.29,-30.15,telemetry_20251214_205628.csv
2025-12-14 20:56:29,7.17,17.81,telemetry_20251214_205629.csv
2025-12-14 20:56:30,3.36,72.22,telemetry_20251214_205630.csv
2025-12-14 20:56:31,4.36,-3.49,telemetry_20251214_205631.csv
2025-12-14 20:56:32,7.49,-1.91,telemetry_20251214_205632.csv
2025-12-14 20:56:33,7.91,45.13,telemetry_20251214_205633.csv
2025-12-14 20:56:34,6.87,-41.68,telemetry_20251214_205634.csv
2025-12-14 20:56:35,6.05,74.46,telemetry_20251214_205635.csv
2025-12-14 20:56:36,4.50,41.46,telemetry_20251214_205636.csv
2025-12-14 20:56:37,11.48,41.70,telemetry_20251214_205637.csv
2025-12-14 20:56:38,11.96,29.67,telemetry_20251214_205638.csv
2025-12-14 20:56:39,6.24,-13.48,telemetry_20251214_205639.csv
2025-12-14 20:56:40,11.41,-36.48,telemetry_20251214_205640.csv
2025-12-14 20:56:41,7.78,13.88,telemetry_20251214_205641.csv
2025-12-14 20:56:42,5.85,-6.90,telemetry_20251214_205642.csv
2025-12-14 20:56:43,9.16,41.70,telemetry_20251214_205643.csv
2025-12-14 20:56:44,11.43,74.96,telemetry_20251214_205644.csv
2025-12-14 20:56:45,4.76,27.02,telemetry_20251214_205645.csv
2025-12-14 20:56:46,6.49,30.81,telemetry_20251214_205646.csv
2025-12-14 20:56:47,11.78,-8.68,telemetry_20251214_205647.csv
2025-12-14 20:56:48,10.40,25.51,telemetry_20251214_205648.csv
2025-12-14 20:56:49,8.42,33.97,telemetry_20251214_205649.csv
2025-12-14 20:56:50,7.07,59.48,telemetry_20251214_205650.csv
2025-12-14 20:56:51,3.99,-39.28,telemetry_20251214_205651.csv
2025-12-14 20:56:52,6.10,56.36,telemetry_20251214_205652.csv
2025-12-14 20:56:53,11.77,-41.44,telemetry_20251214_205653.csv
2025-12-14 20:56:54,8.83,7.08,telemetry_20251214_205654.csv
2025-12-14 20:56:55,9.51,28.01,telemetry_20251214_205655.csv
2025-12-14 20:56:56,6.51,48.42,telemetry_20251214_205656.csv
2025-12-14 20:56:57,3.49,29.37,telemetry_20251214_205657.csv
2025-12-14 20:56:58,4.79,8.81,telemetry_20251214_205658.csv
2025-12-14 20:56:59,4.60,-30.16,telemetry_20251214_205659.csv
2025-12-14 20:57:00,10.08,76.47,telemetry_20251214_205700.csv
2025-12-14 20:57:01,9.30,55.40,telemetry_20251214_205701.csv
2025-12-14 20:57:02,9.48,2.43,telemetry_20251214_205702.csv
2025-12-14 20:57:03,9.92,-36.71,telemetry_20251214_205703.csv
2025-12-14 20:57:04,3.81,-39.15,telemetry_20251214_205704.csv
2025-12-14 20:57:05,9.54,24.91,telemetry_20251214_205705.csv
2025-12-14 20:57:06,6.12,53.27,telemetry_20251214_205706.csv
2025-12-14 20:57:07,9.38,72.01,telemetry_20251214_205707.csv
2025-12-14 20:57:08,11.94,38.30,telemetry_20251214_205708.csv
2025-12-14 20:57:09,8.43,75.90,telemetry_20251214_205709.csv
2025-12-14 20:57:10,11.02,65.33,telemetry_20251214_205710.csv
2025-12-14 20:57:11,9.38,-13.11,telemetry_20251214_205711.csv
2025-12-14 20:57:12,7.86,-16.37,telemetry_20251214_205712.csv
2025-12-14 20:57:13,11.32,23.85,telemetry_20251214_205713.csv
2025-12-14 20:57:14,12.23,-39.36,telemetry_20251214_205714.csv
2025-12-14 20:57:15,3.90,77.79,telemetry_20251214_205715.csv
2025-12-14 20:57:16,3.32,-8.84,telemetry_20251214_205716.csv
2025-12-14 20:57:17,9.89,25.84,telemetry_20251214_205717.csv
2025-12-14 20:57:18,5.38,53.04,telemetry_20251214_205718.csv
2025-12-14 20:57:19,10.94,-35.87,telemetry_20251214_205719.csv
2025-12-14 20:57:20,6.06,-14.74,telemetry_20251214_205720.csv
2025-12-14 20:57:21,10.63,30.43,telemetry_20251214_205721.csv
2025-12-14 20:57:22,8.95,13.14,telemetry_20251214_205722.csv
2025-12-14 20:57:23,6.59,26.31,telemetry_20251214_205723.csv
2025-12-14 20:57:24,4.21,-11.61,telemetry_20251214_205724.csv
2025-12-14 20:57:25,3.78,18.16,telemetry_20251214_205725.csv
2025-12-14 20:57:26,6.55,6.67,telemetry_20251214_205726.csv
2025-12-14 20:57:27,7.32,17.15,telemetry_20251214_205727.csv
2025-12-14 20:57:28,6.72,15.45,telemetry_20251214_205728.csv
2025-12-14 20:57:29,6.84,61.60,telemetry_20251214_205729.csv
2025-12-14 20:57:30,4.95,49.11,telemetry_20251214_205730.csv
2025-12-14 20:57:31,7.02,-13.99,telemetry_20251214_205731.csv
2025-12-14 20:57:32,3.79,56.57,telemetry_20251214_205732.csv
2025-12-14 20:57:33,8.86,3.23,telemetry_20251214_205733.csv
2025-12-14 20:57:34,9.25,75.87,telemetry_20251214_205734.csv
2025-12-14 20:57:35,3.82,5.34,telemetry_20251214_205735.csv
2025-12-14 20:57:36,10.33,6.59,telemetry_20251214_205736.csv
2025-12-14 20:57:37,11.82,24.91,telemetry_20251214_205737.csv
